Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2022-23,001,ANDOVER (001),13715289.51,104657.18,871100.00,6533.25,12484189.51,12484189.51,93631.43,,,0.00,0.00,0.00,0.00,0.00,0.00,360000.00,4500.00,0.00,0.00,46,16
FY 2022-23,002,ANSONIA (002),72506334.67,559369.36,2376510.00,12536.25,64892327.33,63467327.33,473852.47,,,1425000.00,17812.50,0.00,0.00,50000.00,375.00,5187497.34,54793.72,0.00,0.00,231,168
FY 2022-23,003,ASHFORD (003),27031172.23,222373.29,981140.00,7358.55,24446812.00,21994812.00,161646.09,,,2180000.00,27250.00,272000.00,6120.00,8320.23,62.40,1594900.00,19936.25,0.00,0.00,84,56
FY 2022-23,004,AVON (004),232014177.59,1809584.37,6335375.00,47515.31,185546998.59,169940172.59,1243943.74,,,15331826.00,190760.33,0.00,0.00,34856500.00,261423.75,5275304.00,65941.30,0.00,0.00,392,205
FY 2022-23,005,BARKHAMSTED (005),23752399.94,188492.99,1291900.00,9539.25,20200499.94,20100499.94,150753.74,,,100000.00,1250.00,0.00,0.00,260000.00,1950.00,2000000.00,25000.00,0.00,0.00,76,35
FY 2022-23,006,BEACON FALLS (006),45074056.00,340780.37,616000.00,4620.00,43913056.00,43913056.00,329347.95,,,0.00,0.00,0.00,0.00,0.00,0.00,545000.00,6812.50,0.00,0.00,132,80
FY 2022-23,007,BERLIN (007),118241498.41,968774.94,4006600.00,29929.50,92760398.41,92580310.41,669388.59,,,180088.00,2251.10,0.00,0.00,245000.00,1837.50,21229500.00,265368.75,0.00,0.00,295,242
FY 2022-23,008,BETHANY (008),35087386.00,270528.62,600000.00,4500.00,34087386.00,33012725.00,247595.44,,,1074661.00,13433.26,0.00,0.00,0.00,0.00,400000.00,5000.00,0.00,0.00,76,65
FY 2022-23,009,BETHEL (009),147579430.51,1173051.13,3131490.00,23486.10,130763190.51,129560593.51,963473.20,,,1202597.00,15032.46,0.00,0.00,0.00,0.00,13684750.00,171059.38,0.00,0.00,289,205
FY 2022-23,010,BETHLEHEM (010),26203793.00,203013.95,1146900.00,8601.75,25056893.00,23759893.00,178199.21,,,1297000.00,16212.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59,65
FY 2022-23,011,BLOOMFIELD (011),126989528.85,1042794.64,3528010.00,26460.08,82254923.00,82234923.00,609625.69,,,20000.00,250.00,0.00,0.00,19761000.00,148207.50,21131950.00,255899.38,313645.85,2352.34,303,200
FY 2022-23,012,BOLTON (012),25621731.51,193094.23,455501.00,3416.26,24026230.50,24001230.50,175115.51,,,25000.00,312.50,0.00,0.00,0.00,0.00,1140000.00,14250.00,0.01,0.00,79,59
FY 2022-23,013,BOZRAH (013),8012971.00,65339.03,402000.00,3015.00,6562621.00,6562621.00,49219.66,,,0.00,0.00,0.00,0.00,0.00,0.00,1048350.00,13104.37,0.00,0.00,31,38
FY 2022-23,014,BRANFORD (014),298640375.16,2686791.36,7849970.01,58874.71,227143004.15,196104279.15,1448893.37,,,27076225.00,337202.82,3962500.00,89156.25,8586050.00,64395.38,55061351.00,688266.89,0.00,0.00,565,461
